Time resolution is 1 ps
time=0 reset=1 q= x x x x ena=xxx
time=5000 reset=1 q= 0 0 0 0 ena=000
time=10000 reset=0 q= 0 0 0 0 ena=000
time=15000 reset=0 q= 0 0 0 1 ena=000
time=25000 reset=0 q= 0 0 0 2 ena=000
time=35000 reset=0 q= 0 0 0 3 ena=000
time=45000 reset=0 q= 0 0 0 4 ena=000
time=55000 reset=0 q= 0 0 0 5 ena=000
time=65000 reset=0 q= 0 0 0 6 ena=000
time=75000 reset=0 q= 0 0 0 7 ena=000
time=85000 reset=0 q= 0 0 0 8 ena=000
time=95000 reset=0 q= 0 0 0 9 ena=001
time=105000 reset=0 q= 0 0 1 0 ena=000
time=115000 reset=0 q= 0 0 1 1 ena=000
time=125000 reset=0 q= 0 0 1 2 ena=000
time=135000 reset=0 q= 0 0 1 3 ena=000
time=145000 reset=0 q= 0 0 1 4 ena=000
time=155000 reset=0 q= 0 0 1 5 ena=000
time=165000 reset=0 q= 0 0 1 6 ena=000
time=175000 reset=0 q= 0 0 1 7 ena=000
time=185000 reset=0 q= 0 0 1 8 ena=000
time=195000 reset=0 q= 0 0 1 9 ena=001
time=205000 reset=0 q= 0 0 2 0 ena=000
time=215000 reset=0 q= 0 0 2 1 ena=000
time=225000 reset=0 q= 0 0 2 2 ena=000
time=235000 reset=0 q= 0 0 2 3 ena=000
time=245000 reset=0 q= 0 0 2 4 ena=000
time=255000 reset=0 q= 0 0 2 5 ena=000
time=265000 reset=0 q= 0 0 2 6 ena=000
time=275000 reset=0 q= 0 0 2 7 ena=000
time=285000 reset=0 q= 0 0 2 8 ena=000
time=295000 reset=0 q= 0 0 2 9 ena=001
time=305000 reset=0 q= 0 0 3 0 ena=000
time=315000 reset=0 q= 0 0 3 1 ena=000
time=325000 reset=0 q= 0 0 3 2 ena=000
time=335000 reset=0 q= 0 0 3 3 ena=000
time=345000 reset=0 q= 0 0 3 4 ena=000
time=355000 reset=0 q= 0 0 3 5 ena=000
time=365000 reset=0 q= 0 0 3 6 ena=000
time=375000 reset=0 q= 0 0 3 7 ena=000
time=385000 reset=0 q= 0 0 3 8 ena=000
time=395000 reset=0 q= 0 0 3 9 ena=001
time=405000 reset=0 q= 0 0 4 0 ena=000
time=415000 reset=0 q= 0 0 4 1 ena=000
time=425000 reset=0 q= 0 0 4 2 ena=000
time=435000 reset=0 q= 0 0 4 3 ena=000
time=445000 reset=0 q= 0 0 4 4 ena=000
time=455000 reset=0 q= 0 0 4 5 ena=000
time=465000 reset=0 q= 0 0 4 6 ena=000
time=475000 reset=0 q= 0 0 4 7 ena=000
time=485000 reset=0 q= 0 0 4 8 ena=000
time=495000 reset=0 q= 0 0 4 9 ena=001
time=505000 reset=0 q= 0 0 5 0 ena=000
$finish called at time : 510 ns : File "C:/Users/arkap/Downloads/4digit_BCD_counter/4digit_BCD_counter.srcs/sim_1/new/tb_bcd_counter.v" Line 53
